RAZA,SEXO,intercepto,coef_0,coef_1,coef_2,coef_3,coef_4,r2
COBB,HEMBRA,67.73842892334551,0.0,0.8682165216263138,-8.642742727852466e-05,9.469546664807942e-09,-5.036639573097378e-13,0.9999632218350402
COBB,MACHO,62.38386701733316,0.0,0.9104433874231116,-8.50300635966701e-05,8.77651789602638e-09,-4.27524618684405e-13,0.9999670045495189
COBB,MIXTO,63.99144582740564,0.0,0.891371534478232,-8.626216962911857e-05,9.179327025308571e-09,-4.65874866410241e-13,0.9999646794792965
HUBBARD,HEMBRA,97.57245540343729,0.0,0.8670467683881434,-0.00010005902245849901,1.0129527676973767e-08,-4.463775633751488e-13,0.9999974085952991
HUBBARD,MACHO,99.17316467782348,0.0,0.8993420528532462,-6.622738337669655e-05,5.104047386876631e-09,-2.1254469334800287e-13,0.9999983824532998
HUBBARD,MIXTO,63.195847243171556,0.0,0.9364811861279281,-0.0001069564970952248,1.1675195355618451e-08,-5.626071919853045e-13,0.9999895519856501
ROSS,HEMBRA,55.867356857135746,0.0,0.8145854353046141,-7.810322534953319e-05,6.462946474926736e-09,-2.416012658556955e-13,0.9999881869684155
ROSS,MACHO,64.72671189061111,0.0,0.7922635759377538,-5.6737156423188356e-05,3.723817901593524e-09,-1.1351072778610237e-13,0.9999883426428392
ROSS,MIXTO,60.448791088010694,0.0,0.7989397473237695,-6.501461792738087e-05,4.7202611610336356e-09,-1.5774971414331505e-13,0.9999883854447476
ROSS 308 AP,HEMBRA,57.327346315413934,0.0,0.9420567271001238,-0.00010986695696918603,1.1839168314236867e-08,-5.78829022769202e-13,0.9999953579100878
ROSS 308 AP,MACHO,65.69706081768823,0.0,0.9230406315186683,-8.629460037368285e-05,8.127620048877925e-09,-3.487742544805532e-13,0.9999919614450431
ROSS 308 AP,MIXTO,61.7430923563345,0.0,0.9314759339111336,-9.688672044014487e-05,9.7536300564615e-09,-4.461501215994927e-13,0.9999936749855043
